,name,time,tweet
63,Udoh Patrick,2021-04-07 13:36:21,   deserve impeachment or at least been questioned by the Senate but we are in Nigeria...… 
64,icymediaHQ,2021-04-07 13:34:13,1   Jubril must go
65,icymediaHQ,2021-04-07 13:33:59,   I swear for real
66,icymediaHQ,2021-04-07 13:33:53,_MaleboySon   Too long o 😢
67,Minister of Sense,2021-04-07 13:33:35,  This karma sha
68,icymediaHQ,2021-04-07 13:33:32,  Jubril na hypocrite
69,A,2021-04-07 13:32:36,  2023 is a long wayy
70,Reno Omokri,2021-04-07 13:31:12,"On March 10, 2010, General  asked the Federal Executive Council to declare then President Yar’adua incapacit… "
71,temitope James,2021-04-07 13:23:20,_j   The greatest team of clueless politicians in history  led government is nothing but failure and fulanisation
72,rights,2021-04-07 13:06:59," delegated power to the British High commissioner to Nigeria before he left for London
Din't he? "
73,Info@ICBlog.com,2021-04-07 11:33:21,Sources claimed that President  was displeased that IGP Adamu could not tackle the rising attacks on police… 
74,Ukah Joy #EndSars,2021-04-07 11:26:11,  Una go chop una own meat soon
75,I'm Engr Abdullahi,2021-04-07 09:18:03,"Even  knows  is in London
😘😘😘😘🤐🤐🤐"
76,echezona,2021-04-06 23:01:45,_j   Backwards ever forward never. Everything is wrong with this people
77,Abidoye O. John,2021-04-06 22:10:14,Mr President  and  led government Jusun strike has commenced and ASUP has joined also. Hospital not work… 
78,Zamzzz Abdul,2021-04-06 21:36:57," Seasonable and responsible man 
Are not much this day
Without peace we can't move to anyway
We believ… "
79,muslimu mohammed,2021-04-06 21:12:26,  When they protest against  they are Nigerians but when they protest for him they a… 
80,Isreal adeniyi,2021-04-06 20:18:46,"Am not really sure it is president  that is making this appointment ooo
U no even allow come back u send am… "
81,Tunes_official,2021-04-06 19:40:35,  _News A confused set of orders with different self interest policies..I can't jus… 
82,Victor Simbol,2021-04-06 18:14:54,I don't knw if we're use to betraying moni or moni dey betray us. Abi we betray each other cos of moni🙄🙄.How can so… 
83,IKUROMO,2021-04-06 16:54:15,"Someone please inform  that they have replaced his inspector general of police...
Am very certain and sure o… "
84,Ehisworld,2021-04-06 15:21:39,  Does  president  has phobia for southerners ?
85,STANLEY SOLOMON AWOTIDE,2021-04-06 14:53:05,This is the same excuse  used to subvert nation 1983 as a coup plotter   He should have berth in jail for co… 
86,20...10....20,2021-04-06 14:43:07,"   The same christ name they use to pray for 
Wonderful christ..."
87,💚AOS💚,2021-04-06 12:46:55,4     kindly follow back
88,Ada Amadioha,2021-04-06 11:40:05,"This woman has sold her soul to .
OnochieNaLachaIkeBuhari "
89,Ada Amadioha,2021-04-06 07:55:20,Fulani terrorists slaughter with impunity because they are 's clansmen!!… 
90,Ikechukwu,2021-04-06 07:30:30, How can you be advocating for peace whereas your leader  is the major sponsor of disunity?
91,Daddycee,2021-04-06 06:43:25,"Lets forget about AlexSaab ,
 still dey London koo? "
92,Michael Ikyaagba,2021-04-05 21:51:52,  They went ahead with the protest.
93,Zamzzz Abdul,2021-04-05 21:26:48,"1     Clap for yourself dat making in Sense
Ipob boi 
born in violen… "
94,THE SURGEON !,2021-04-05 21:23:44,  Your hypocrisy is out of this 
95,Tony Obaje,2021-04-05 21:07:52,3     You are not making sense at alllllll
96,Zamzzz Abdul,2021-04-05 20:34:41,"   The ever good man among politics
 
How did you expect good when you disappo… "
97,🌟🌟,2021-04-05 20:34:21,  Why una always dey conditions b4 una go make this country better.. do d do sir and forget the condition
98,Ada Amadioha,2021-04-05 20:25:55, understands the futility of prayer. That's why he'd rather take his chances with British doctors! Remember… 
99,OLUSEGUN,2021-04-05 19:50:36,So  had the guts to support  governance... who did this to you  
100,Speaker Of Truth,2021-04-05 19:45:33,"  Buhari and his supporters are all agents of destruction, you people are not even wise enough to… "
101,Forward Ever.,2021-04-05 19:25:44,"69 My brother, where ever it is discussed, we need results. People are dying in numbers. Businesses are closing… "
102,Zona,2021-04-05 19:21:21, Evil men always support evil  is evil
103,Nwota,2021-04-05 18:01:28," No one was killed from both side,the attack is Condemnable but  should condemn the killing o… "
104,Olys Yas,2021-04-05 17:32:24,"  Then you should also realised that of your methols(e.g Jonathan, Obj and Co) doctors name. Even… "
105,TrulyYahaya,2021-04-05 16:46:33,6    Goodnight
106,Forward Ever.,2021-04-05 16:38:54,  administration is being tormented by miscreants all over the country. I don't think he is d… 
107,Pappyto,2021-04-05 16:29:21,    Lmao 🤣 🤣 🤣 🤣 I say this man na mumu and you're Hediot again... Calling you… 
108,TrulyYahaya,2021-04-05 16:18:45,"6    😂, so that Fulani man that sponsored you through that your community seconda… "
109,Pappyto,2021-04-05 16:05:05,    😂😂😂😂The senselessness really crack me up.... Fruit seller 😂😂😂Hediot cow brain 🧠 😂😂
110,Oluwasegun Daniel,2021-04-05 15:50:35,"___    I lof you, and violence shall abide🥺 "
111,TrulyYahaya,2021-04-05 15:49:39,75966486    God created you as a human in his image but you have deliberately turned… 
112,TrulyYahaya,2021-04-05 15:48:26,6    I don't need to be your parent for it is stated that by their fruits we shal… 
113,Pappyto,2021-04-05 15:14:41,    Lmao..... Are you my parent... Maybe thats how  you were brought up cow from daura 😂😂😂
114,documentum,2021-04-05 14:51:50,  Jail dey call you
115,Nnabuagha Nnamdi,2021-04-05 14:33:03,"  A few citizens cannot be above millions of Nigerians. Who made them elders? 
Please let's know… "
116,Blaze,2021-04-05 13:42:12,  What are you waiting for??? 
117,TrulyYahaya,2021-04-05 13:34:47,111     I no get strength for fight sef
118,Django🤔 Beware b4 u talk .,2021-04-05 13:26:12,     We no go fight 👍🏿🤗
119,TrulyYahaya,2021-04-05 12:55:43,111     That will be great and I will be available for that if we wi… 
120,"C ,O,O, MMIRIKWE",2021-04-05 12:54:55,"unknown   free prisons in OWERRI &amp;then what?

 who have been freeing Boko haram terrorist &amp; recruiti… "
121,Adasu,2021-04-05 12:29:23,The cost for the  to visit  in Nigeria and that of a president to visit the doctor in London can not be the same.
122,Hope4All🇧🇷 @Martins,2021-04-05 12:14:26,"  Personal am disappointed sir, so the elder statemen are happy the way Nigeria is today"
123,#EndSARS #Endpolicebrutality,2021-04-05 12:13:45,"  You are too smart &amp; intelligent for them. God bless you always, it is glaring &amp; evident that u only stand the best."
124,Mark,2021-04-05 11:54:52,   You want to harass his doctors online why.  Lol.
125,"Sampson, Monday",2021-04-05 11:36:59, Very very good. This shows they have learnt from  and  brothers. Nigeria we hail thee.
126,Django🤔 Beware b4 u talk .,2021-04-05 11:28:49,     I'll hand over my show training skills to you so we can battl… 
127,Amanda,2021-04-05 11:28:03,   Please do them no favours because they are all ruthless people.If there is transparenc… 
128,Amanda,2021-04-05 11:25:46,   Exactly!
129,TrulyYahaya,2021-04-05 11:14:31,6    You grew up seeing your parents insult each other for jokes so it's normal f… 
130,Pappyto,2021-04-05 10:52:55,    Lol ode same to you ko same to them ni
131,Sanu David,2021-04-05 10:47:17,   So shameless
132,TrulyYahaya,2021-04-05 10:46:38,"6    Whatever it means, same to you sir."
133,Pappyto,2021-04-05 10:41:19,    Just put I before that your name and remove the haya.... Then it will remai… 
134,king Solomon,2021-04-05 10:02:57,"  If truly u are learned,if truly u don't have a slave mentality,if truly u are not inferior to a… "
135,AdaUma,2021-04-05 09:52:03,      The guy is shameless.he will still travel
136,Jacob Micheal,2021-04-05 09:50:02,  🤣🤣🤣which government in the history of  is as useless as the  _Online 2dayy
137,#20:10:2020,2021-04-05 09:45:27,  Oga carry yourself de go. A criminal told you to condone another criminal and you listened. Lik… 
138,Sirbash26,2021-04-05 09:32:43,"77 It is indeed appalling and disheartening, the viral news  that it was Professor Ishaya Audu’s daughter… "
139,Victory Omoefe,2021-04-05 09:29:14,  We don't have any elder statesmen in Nigeria. They gave Nigerians pains by imposing Buhari on u… 
140,Morgan,2021-04-05 09:22:45,  Please share the details and shame the 
141,Specimen H,2021-04-05 09:17:35,"  Reno, please don't be compromised. Remember your thousands of followers would be discouraged by… "
142,Never mind. Rattle,2021-04-05 08:25:36,   We are waiting o  
143,TrulyYahaya,2021-04-05 08:23:13, 1    which medicine I go take?
144,Thanos,2021-04-05 08:19:32, 1    Mr man your sense dey pain u
